,tweet_id,text,label
29038,1.31464E+18,"Shout out to walkers @BurnsideBees1 supporting breast cancer research, prevention and treatment. You rock!!!! @RichlandOne https://t.co/2qew4pAslK",0
33181,1.30425E+18,"They ignore the fact that PP offers so many services in addition to abortions like STD testing &amp; treatment, cancer screenings, breast exams, birth control even fucking prenatal care!!! And all at an affordable cost!!! PP is more pro-life than these fuckers",0
29980,1.27613E+18,"#ResearchHighlight 
#researchers develop non-invasive gene delivery technology against #breastcancer cells
For details, click below:
https://t.co/U8h9WyoeIM",0
83668,1.2891E+18,@loftyimp @AndyPearson68 @impyblue @helgy2 Consuming dairy products may decrease the risk of premenopausal breast cancer and colorectal cancer. There is also no link between dairy and pancreatic cancer and limited evidence that dairy products increase the risk of prostate cancer. https://t.co/hnQRvArK3w,0
106104,1.31448E+18,"@JustinMcElroy Auction off and use the money for charities!! Just make sure they're GOOD charities that will actually use the money as advertised, not like Susan G Komen 's breast cancer one. They use the money for parties.",0
62517,1.30611E+18,@brandondarby @drawandstrike Placing your mobile phone like that causes breast cancer. Don't do it,0
86766,1.26098E+18,"Velma ""Gram Sam"" Worthing: my maternal grandmother who taught me to self examine for breast cancer when I was a tween because she had just been through a mastectomy. 

Made of grit, iron and sheer stubborn meanness, this is the old battle axe that saved my life. 😎 https://t.co/uIZ0I70KGP",0
84364,1.30149E+18,"@sharonlcase as a breast cancer survivor myself you are bringing this role to life, your emotions and feels are spot on. They could not have picked a better person to bring awareness, thank you for your acting talents and always giving 💯, can’t wait to see more 💖 https://t.co/4X0mqDFweU",1
25472,1.3043E+18,"-sorry 7 years, she was diagnosed with breast cancer, it was found early, but they didnt know at the time that it was metastatic. and so she fought the cancer, through surgery and therapy, and beat it twice. but the 3rd time was too much and she died on january 3rd 2017.

i ask-",0
132769,1.30014E+18,"@realnormal316 @dean_bigbee @TuckerCarlson Agree co morbidities and other factors appear to make some adult Americans (70%) at higher risk for bad Covid 19 outcomes but does not change cause of death. Using your data analysis model,women with a genetic predisposition who develop breast cancer would not be counted either.",0
814,1.26369E+18,"@G_TheOriginal @JeffHerring46 Love, from one breast cancer survivor to another🎉",0
45819,1.30192E+18,"Thanks to a generous donation yesterday, I've now raised over $1k raised for the American Cancer Society in the fight against breast cancer!  No donation is too small (or big).   Please click here to donate: https://t.co/lr0H1iP7g8
#PuttingTheFunInFundraising ##RealMenWearPink https://t.co/oQdRdpj0Va",0
120750,1.30484E+18,"doctors should have their values examined every 5-10 years, in my opinion. my mother is anti-mask, an anti-vaxxer, doesn’t believe in medicine, breast/cancer/reproductive checks for women, thinks COVID can be cured by praying and honey/lime and yet, she’s can say she’s a doctor?",0
34423,1.3077E+18,"@ojspal @SteveStuWill AAPS, a conservative non-profit association, has promoted a range of scientifically discredited hypotheses, that HIV does not cause AIDS, being gay reduces life expectancy, a link between abortion and breast cancer, and there is a causal relationship between vaccines and autism.",0
92591,1.31056E+18,"Deal! Pls consider also inviting my breast surgeon, Doc Norman San Agustin. This is also his advocacy. He can attest to the rising # of advanced breast cancer cases.",1
75382,1.30043E+18,So right away CBS pulls in their breast cancer dr to tell the audience that well no not really. Covid really IS what killed them. HOW DOES SHE KNOW? WAS SHE IN ON ALL THE AUTOPSIES???? MANY OF WHICH WERE NOT DONE PROBABLY. NOT EVERYONE HAS AUTOPSIES. YOU CAN REFUSE TO HAVE THEM,0
71673,1.30816E+18,"@summerstoli Hi, Im asking for help. My dog has just been diagnosed with breast cancer, she is a beautiful 12 years old poodle toy (looks younger, she is so pretty) and due to recent economic crisis in my country (Colombia) we are not able to pay for her surgery. https://t.co/skjRJfO1QU",0
69706,1.27081E+18,June is National Men’s Health Month. Educate the men in your life about the warning signs of breast cancer. Learn more here: https://t.co/xHjUABKbTB #MensHealthMonth https://t.co/N7sklvwQca,0
18049,1.30012E+18,"@Fajji_Hanji @FagooStew @Matt_Holck @KeroroCanti @_SaneJoe_ Y’all are weird , on breast cancer awareness month do you say “oh so there’s no other types of cancers , only breast cancer is a problem right now ???” No you don’t so stfu !",0
120595,1.31295E+18,"#⃞JJUNG :
ㅤㅤ
Krystal participated in raising awareness for breast cancer prevention in ‘Pink Pony’ campaign by Polo Ralph Lauren. https://t.co/BU2Bsnl6UL",0
29437,1.26344E+18,"We may be physically distant, but we are still very much connected! If you're wondering what our connections with the young breast cancer survivors we serve looks like right now, watch this video about our recent virtual retreat and see: https://t.co/d4yq1dMDdI",0
93037,1.29386E+18,i’m having severe breast pain again but since there’s no cancer in the lump they found apparently they can’t do anything so basically i’m fucked haha cool can i just chop them off,0
113791,1.29729E+18,"“What do we say to the God of Death?”

When mom was diagnosed with breast cancer that spread to her lymph nodes I was devastated.  But she wasn’t. She fought it like Arya taking on the Night King, and did it with a smile on her face....
#NotToday #Fuckcancer
@miltosyerolemou https://t.co/Rs9ZYZSmKH",0
62176,1.31148E+18,Rita Wilson beat COVID-19 and breast cancer. Now she wants us all to get flu shots https://t.co/ybtyeKi7jT via @YahooEnt,0
122808,1.29731E+18,Yes destroy Jackie’s tribute to jfk. I have a tree that was planted outside my house by the family who lived in our house before us for their mother who died of breast cancer. The tree started to die my dad nursed it back to health. Refused to remove it. The tree is thriving now.,0
110146,1.27537E+18,New article: nnnnnnnnSequentially-targeted biomimetic nano drug system for triple-negative breast cancer ablation and lung metastasis inhibition. https://t.co/fNDbHbSf04 #lungcancer #oncology https://t.co/jv1fahU8Uc,0
7802,1.29681E+18,Pioneering breast cancer treatment prevents need for weeks of radiotherapy https://t.co/TtnYWg2XP1,0
97507,1.26854E+18,"“I lost my beautiful wife, Cazi, to breast cancer, and since then, I’ve been dedicated to supporting CRUK.” This #VolunteersWeek, we’re thanking our volunteers, like Mike, for their ongoing support. https://t.co/CjcxllDPH3",0
70530,1.27487E+18,"@mary_markssngr  I will tell you now I was at the hospital all day with test being to see if I had breast cancer. PTL there was no mass, nothing that would indicate breast cancer. But there is something wrong with my breast and that is undetermined. Thank you for your prayers",0
7423,1.30042E+18,A Phase II #clinicaltrial from @theNCI which includes #malebreastcancer: Ipatasertib and Atezolizumab to the Prevention of Triple Negative Breast Cancer Recurren... Active on 2020-07-02. https://t.co/o3Gi48DTwe,0
